FIPS,COUNTY,STATE,2KPOPULATION,RPC,MTA,BTA,REA,EAG_220,EAG_700,MEA,EA,PSR,CMA,VPC,CEA
01001,Autauga,Alabama,43671.00,4,29,305,4,3,3,24,79,1,139,4,187
01003,Baldwin,Alabama,140415.00,4,17,302,4,3,3,27,80,1,83,4,183
01005,Barbour,Alabama,29038.00,2,11,92,4,3,3,24,36,1,314,4,77
01007,Bibb,Alabama,20826.00,4,29,44,4,3,3,24,78,1,310,4,32
01009,Blount,Alabama,51024.00,4,29,44,4,3,3,24,78,1,307,4,32
01011,Bullock,Alabama,11714.00,4,29,305,4,3,3,24,79,1,314,4,187
01013,Butler,Alabama,21399.00,4,29,305,4,3,3,24,79,1,313,4,187
01015,Calhoun,Alabama,112249.00,4,29,17,4,3,3,24,78,1,249,4,12
01017,Chambers,Alabama,36583.00,2,11,334,2,3,3,8,40,1,311,3,16
01019,Cherokee,Alabama,23988.00,4,29,158,2,3,3,8,40,1,308,3,16
01021,Chilton,Alabama,39593.00,4,29,44,4,3,3,24,78,1,310,4,32
01023,Choctaw,Alabama,15922.00,4,28,292,4,3,3,26,77,1,309,4,325
01025,Clarke,Alabama,27867.00,4,17,302,4,3,3,27,80,1,312,4,183
01027,Clay,Alabama,14254.00,4,29,17,2,3,3,8,39,1,311,4,63
01029,Cleburne,Alabama,14123.00,4,29,17,2,3,3,8,40,1,311,3,16
01031,Coffee,Alabama,43615.00,4,29,115,4,3,3,24,36,1,313,4,77
01033,Colbert,Alabama,54984.00,4,29,146,4,3,3,24,74,1,226,4,94
01035,Conecuh,Alabama,14089.00,4,17,302,4,3,3,27,80,1,312,4,183
01037,Coosa,Alabama,12202.00,4,29,44,2,3,3,8,39,1,311,4,63
01039,Covington,Alabama,37631.00,4,29,305,4,3,3,24,36,1,313,4,77
01041,Crenshaw,Alabama,13665.00,4,29,305,4,3,3,24,79,1,313,4,187
01043,Cullman,Alabama,77483.00,4,29,44,4,3,3,24,78,1,307,4,32
01045,Dale,Alabama,49129.00,4,29,115,4,3,3,24,36,1,246,4,77
01047,Dallas,Alabama,46365.00,4,29,415,4,3,3,24,79,1,310,4,187
01049,DeKalb,Alabama,64452.00,4,29,158,4,3,3,24,74,1,308,4,128
